Geneid,ENCSR181WYS_1,ENCSR181WYS_2,ENCSR016WFQ_1,ENCSR016WFQ_2
ENSG00000177133,2,0,6,0
ENSG00000142611,17,12,32,20
ENSG00000283572,0,0,0,0
ENSG00000226286,0,0,0,0
ENSG00000279839,16,4,26,10
ENSG00000272235,0,2,0,0
ENSG00000130762,157,108,89,124
ENSG00000272088,2,0,0,0
ENSG00000162591,185,181,85,125
ENSG00000207776,0,0,0,0
ENSG00000238260,12,31,15,8
ENSG00000158109,1758,1692,1567,950
ENSG00000116213,2440,2752,2753,2330
ENSG00000078900,831,1006,1184,604
ENSG00000227589,6,3,17,19
ENSG00000235131,6,1,0,0
ENSG00000227372,5226,5949,6952,5010
ENSG00000276189,31,19,57,14
ENSG00000162592,403,431,809,405
ENSG00000235169,1559,1457,2175,1544
ENSG00000130764,7133,7931,8341,5698
ENSG00000266075,45,69,108,32
ENSG00000272153,942,1041,1175,703
ENSG00000116198,4389,5269,4763,3478
ENSG00000169598,1156,1307,1270,894
ENSG00000198912,2633,2508,2659,1875
ENSG00000236423,70,77,89,71
ENSG00000233304,6,1,107,2
ENSG00000226374,0,0,21,20
ENSG00000284668,562,602,429,436
ENSG00000284703,40,54,57,50
ENSG00000229280,2,2,0,0
ENSG00000235054,6,0,0,0
ENSG00000284694,8,7,30,0
ENSG00000227169,0,0,0,0
ENSG00000232596,5,5,3,17
ENSG00000196581,38,15,39,82
ENSG00000284739,2,0,1,0
ENSG00000284674,4,0,5,6
ENSG00000231510,2,0,3,6
ENSG00000284616,6,0,6,12
ENSG00000284692,43,6,52,3
ENSG00000284666,0,0,0,0
ENSG00000260972,5,2,4,1
ENSG00000283356,1,0,0,0
ENSG00000236948,0,0,5,2
ENSG00000264341,0,0,10,0
ENSG00000264101,0,0,0,0
ENSG00000131697,2179,2451,2567,1648
ENSG00000069424,1084,1208,1884,859
ENSG00000116254,66,62,295,58
ENSG00000116251,13925,13017,19649,14532
ENSG00000226944,48,66,94,149
ENSG00000158286,973,1348,1505,1168
ENSG00000116237,8794,8899,9846,6725
ENSG00000225077,59,26,50,25
ENSG00000173673,0,0,1,0
ENSG00000158292,400,473,402,288
ENSG00000097021,3855,3647,3957,3421
ENSG00000271746,37,26,102,96
ENSG00000069812,16,24,92,77
ENSG00000187017,767,686,552,656
ENSG00000265392,0,0,2,0
ENSG00000231868,34,41,61,17
ENSG00000215788,43,19,75,24
ENSG00000171680,44,47,133,59
ENSG00000162408,8053,8967,8945,6851
ENSG00000253022,3,6,4,0
ENSG00000229519,17,43,22,41
ENSG00000173662,35,76,134,85
ENSG00000204859,2525,2842,3249,2654
ENSG00000162413,7369,8498,8694,5731
ENSG00000116273,3857,4075,5065,3358
ENSG00000041988,3910,4508,4589,4240
ENSG00000007923,7619,8115,8094,7079
ENSG00000228750,3,5,16,42
ENSG00000284744,9,10,10,30
ENSG00000237436,22,32,44,33
ENSG00000171735,1844,1682,2616,1537
ENSG00000227950,2,1,4,3
ENSG00000237365,0,0,2,0
ENSG00000207056,5,8,0,6
ENSG00000237402,2,0,1,0
ENSG00000237728,0,6,9,14
ENSG00000225126,0,2,0,0
ENSG00000270171,2,2,3,0
ENSG00000270035,0,0,8,0
ENSG00000269978,1,0,0,0
ENSG00000049245,3050,3214,2879,1985
ENSG00000269925,25,49,13,39
ENSG00000049246,2477,2889,2756,1679
ENSG00000236266,93,165,147,67
ENSG00000049247,565,677,689,431
ENSG00000049249,58,39,32,86
ENSG00000270330,0,0,29,10
ENSG00000116288,14103,13169,16238,11274
ENSG00000200344,0,2,2,12
ENSG00000284747,98,160,132,68
ENSG00000284716,13,17,15,1
ENSG00000116285,175,192,146,56
ENSG00000238290,1,0,28,0
ENSG00000232848,8,0,18,2
ENSG00000229305,5,0,9,5
ENSG00000227634,3,1,16,0
ENSG00000200975,3,2,6,5
ENSG00000233645,3,0,0,0
ENSG00000251977,1,0,1,1
ENSG00000162426,9,0,76,15
ENSG00000252254,0,0,0,0
ENSG00000142599,6957,8489,9375,5413
ENSG00000232912,1,4,7,4
ENSG00000221083,2,0,3,9
ENSG00000270282,1,0,4,0
ENSG00000234619,8,12,6,22
ENSG00000224315,16,3,12,12
ENSG00000222511,4,0,0,0
ENSG00000226545,4,6,3,5
ENSG00000228423,6,8,16,8
ENSG00000229716,0,0,1,0
ENSG00000074800,117632,116351,139467,98312
ENSG00000274258,49,67,74,32
ENSG00000230679,40,14,40,17
ENSG00000201725,0,0,3,5
ENSG00000238249,19,16,16,18
ENSG00000232208,0,0,9,0
ENSG00000232663,2,0,6,0
ENSG00000131686,22,3,46,16
ENSG00000265141,0,0,4,0
ENSG00000197241,3,0,65,14
ENSG00000142583,7,0,52,27
ENSG00000252404,7,0,0,0
ENSG00000180758,56,31,74,16
ENSG00000228526,10,9,45,31
ENSG00000284357,0,0,0,0
ENSG00000234546,20,3,28,6
ENSG00000049239,1466,1646,1765,943
ENSG00000171621,19,6,34,0
ENSG00000284652,0,2,12,0
ENSG00000284693,11,14,60,20
ENSG00000252956,0,0,2,0
ENSG00000235263,9,1,24,22
ENSG00000171612,2520,2603,2970,2197
ENSG00000231181,16,18,27,65
ENSG00000188807,4210,4796,5165,4827
ENSG00000171608,3661,4066,5925,3341
ENSG00000179840,0,4,26,6
ENSG00000233268,1,0,5,2
ENSG00000231789,586,547,839,426
ENSG00000171603,7387,8029,8765,5591
ENSG00000271264,0,2,0,0
ENSG00000280113,0,10,38,20
ENSG00000178585,2054,2082,3509,1836
ENSG00000223989,295,317,592,281
ENSG00000162441,2718,3023,2848,1796
ENSG00000228150,30,23,28,46
ENSG00000173614,1305,1289,1356,1009
ENSG00000202415,35,27,33,1
ENSG00000283611,17,9,7,9
ENSG00000265521,4,4,0,0
ENSG00000241326,122,169,167,159
ENSG00000162444,9,13,7,3
ENSG00000130939,9222,10693,11599,6773
ENSG00000224340,6,3,9,0
ENSG00000233623,9,10,56,14
ENSG00000201746,5,4,6,23
ENSG00000054523,5502,6283,6210,3203
ENSG00000264881,1,0,0,0
ENSG00000199562,0,0,1,0
ENSG00000264501,51,83,41,84
ENSG00000284735,31,25,47,91
ENSG00000284642,25,32,31,27
ENSG00000142657,16320,17030,23806,14626
ENSG00000271989,58,75,94,95
ENSG00000251503,853,843,1094,835
ENSG00000175279,920,901,1160,874
ENSG00000241563,65,67,134,117
ENSG00000160049,7651,8385,8457,7683
ENSG00000203469,580,668,593,638
ENSG00000142655,3349,3071,4463,3165
ENSG00000243267,0,5,10,1
ENSG00000130940,456,419,319,142
ENSG00000272078,207,211,135,68
ENSG00000225158,2,4,2,0
ENSG00000175262,21,4,61,22
ENSG00000215785,0,4,17,13
ENSG00000120948,14485,14973,16313,10917
ENSG00000277726,6789,6692,7515,4418
ENSG00000009724,156,162,270,191
ENSG00000271895,103,136,136,190
ENSG00000116649,13000,13194,13107,14208
ENSG00000171824,7724,8531,8952,6299
ENSG00000226849,1339,1545,1678,1571
ENSG00000230337,296,316,312,162
ENSG00000198793,13631,15211,15706,8861
ENSG00000225602,338,326,368,136
ENSG00000253086,0,0,0,0
ENSG00000171819,16,4,16,9
ENSG00000207451,0,0,0,0
ENSG00000238173,2,0,3,0
ENSG00000120942,2228,2605,2913,2060
ENSG00000238199,7,1,14,0
ENSG00000284646,0,6,12,8
ENSG00000224338,10,7,4,16
ENSG00000204624,20,5,64,19
ENSG00000235643,10,2,14,6
ENSG00000284708,13,4,82,34
ENSG00000116661,105,79,212,93
ENSG00000132879,1216,1367,1372,1294
ENSG00000116663,1064,1012,1506,815
ENSG00000116670,6948,7169,9653,7021
ENSG00000162490,16,7,59,53
ENSG00000177674,2938,2912,4202,2866
ENSG00000215910,4138,4610,6620,3687
ENSG00000177553,8,11,26,1
ENSG00000177000,15375,18032,25378,13895
ENSG00000011021,2622,3298,3191,2552
ENSG00000242349,245,288,276,310
ENSG00000276470,44,37,15,32
ENSG00000278852,30,36,34,26
ENSG00000175206,87,120,176,155
ENSG00000275915,10,25,34,35
ENSG00000120937,0,0,25,2
ENSG00000224904,4,0,15,11
ENSG00000199347,3,2,0,0
ENSG00000201801,1,0,0,0
ENSG00000116685,6855,7272,8485,6435
ENSG00000083444,11481,12001,13956,10282
ENSG00000116688,16736,17600,18008,11520
ENSG00000270914,0,1,0,0
ENSG00000116691,5145,5130,7486,5971
ENSG00000202461,7,13,16,10
ENSG00000276869,17,30,21,55
ENSG00000243539,6,0,1,0
ENSG00000120949,1016,1091,1997,1351
ENSG00000201135,1,0,0,2
ENSG00000227875,4,0,7,0
ENSG00000283789,84,76,170,79
ENSG00000028137,3526,3823,6730,3627
ENSG00000263676,2,2,2,2
ENSG00000225196,9,4,0,0
ENSG00000252969,2,2,1,0
ENSG00000048707,7642,9170,11306,5770
ENSG00000239149,21,38,33,40
ENSG00000229484,3,1,40,11
ENSG00000162496,1448,1204,1868,930
ENSG00000221340,4,3,7,3
ENSG00000276830,0,3,13,1
ENSG00000272482,2,7,49,9
ENSG00000204518,4,3,26,17
ENSG00000226166,0,0,0,0
ENSG00000188984,16,6,21,13
ENSG00000157330,16,4,38,41
ENSG00000116726,0,0,1,2
ENSG00000116721,3,0,5,5
ENSG00000228338,0,0,0,0
ENSG00000239810,4,10,8,1
ENSG00000231103,9,7,16,12
ENSG00000179172,31,30,46,78
ENSG00000120952,7,0,2,0
ENSG00000243073,3,10,4,15
ENSG00000187545,8,18,18,18
ENSG00000204510,0,0,0,0
ENSG00000207434,0,0,0,0
ENSG00000234064,0,0,0,0
ENSG00000232423,8,5,1,2
ENSG00000274178,0,7,0,4
ENSG00000274764,4,1,5,0
ENSG00000277058,5,3,1,9
ENSG00000229571,1,2,0,0
ENSG00000277862,0,0,0,0
ENSG00000236179,5,0,12,0
ENSG00000275774,9,8,9,20
ENSG00000229978,0,0,0,0
ENSG00000233336,0,0,0,0
ENSG00000280267,1,0,1,0
ENSG00000179412,6,2,9,8
ENSG00000204505,1,3,0,2
ENSG00000279169,5,0,2,2
ENSG00000279804,4,2,20,8
ENSG00000250894,6,0,27,1
ENSG00000270601,0,3,0,0
ENSG00000231219,0,0,0,0
ENSG00000207511,0,0,0,0
ENSG00000182330,0,4,2,4
ENSG00000237700,4,5,12,0
ENSG00000204501,11,11,28,14
ENSG00000228229,0,0,0,0
ENSG00000204481,8,8,17,2
ENSG00000204480,0,4,2,0
ENSG00000204479,12,10,4,10
ENSG00000204478,3,0,12,13
ENSG00000162494,2,0,7,3
ENSG00000259961,0,0,0,0
ENSG00000215909,1,0,0,0
ENSG00000162493,12,6,21,28
ENSG00000222952,0,0,0,0
ENSG00000237445,0,0,0,0
ENSG00000253085,0,0,0,0
ENSG00000116731,3291,3882,3811,2012
ENSG00000189337,895,1020,841,593
ENSG00000252151,0,0,0,0
ENSG00000231606,2,0,0,2
ENSG00000234593,14,28,22,0
ENSG00000235829,0,0,0,0
ENSG00000175147,43,7,23,33
ENSG00000171729,82,108,45,58
ENSG00000204464,0,1,12,10
ENSG00000215720,2,0,1,5
ENSG00000278480,17,2,10,0
ENSG00000142621,274,294,298,198
ENSG00000233485,84,82,49,43
ENSG00000236045,0,2,14,2
ENSG00000228140,13,3,42,52
ENSG00000142634,5240,5211,6202,4565
ENSG00000162438,4,7,117,60
ENSG00000142615,43,6,67,36
ENSG00000215704,35,51,89,33
