samples,treatment,batch,crispri_geneid
ENCSR469EFL_1,STAT2,B,ENSG00000170581
ENCSR469EFL_2,STAT2,B,ENSG00000170581
ENCSR376CFR_1,STAT5A,B,ENSG00000126561
ENCSR376CFR_2,STAT5A,B,ENSG00000126561
ENCSR024HAR_1,STAT6,B,ENSG00000166888
ENCSR024HAR_2,STAT6,B,ENSG00000166888
ENCSR731XIE_1,TARDBP,B,ENSG00000120948
ENCSR731XIE_2,TARDBP,B,ENSG00000120948
ENCSR800PWS_1,TBL1XR1,B,ENSG00000177565
ENCSR800PWS_2,TBL1XR1,B,ENSG00000177565
ENCSR074FBG_1,TEAD2,B,ENSG00000074219
ENCSR074FBG_2,TEAD2,B,ENSG00000074219
ENCSR550FIL_1,TEAD4,B,ENSG00000197905
ENCSR550FIL_2,TEAD4,B,ENSG00000197905
ENCSR552HTC_1,TFDP1,B,ENSG00000198176
ENCSR552HTC_2,TFDP1,B,ENSG00000198176
ENCSR294ZCD_1,THAP1,B,ENSG00000131931
ENCSR294ZCD_2,THAP1,B,ENSG00000131931
ENCSR399QAP_1,TLE2,B,ENSG00000065717
ENCSR399QAP_2,TLE2,B,ENSG00000065717
ENCSR591QYK_1,TRIM28,B,ENSG00000130726
ENCSR591QYK_2,TRIM28,B,ENSG00000130726
ENCSR052BWT_1,USF2,B,ENSG00000105698
ENCSR052BWT_2,USF2,B,ENSG00000105698
ENCSR267BHU_1,ZNF395,B,ENSG00000186918
ENCSR267BHU_2,ZNF395,B,ENSG00000186918
ENCSR409OFU_1,SNW1,C,ENSG00000100603
ENCSR409OFU_2,SNW1,C,ENSG00000100603
